pair,side,entry,exit,bars_held,trade_ret
GBPUSD,short,2023-08-18,2023-09-29,30,0.04349864666804559
GBPUSD,short,2023-10-02,2023-10-12,8,-0.010131333123589714
GBPUSD,short,2024-07-31,2024-08-19,13,-0.008712497229930838
GBPUSD,short,2024-10-07,2024-11-18,30,0.039115661769392185
NZDUSD,short,2023-03-03,2023-03-15,8,-0.0017030944396134728
NZDUSD,short,2023-08-04,2023-09-15,30,0.029131496413735136
NZDUSD,short,2024-07-05,2024-07-09,2,-0.002919679463447178
NZDUSD,short,2024-07-26,2024-08-12,11,-0.017758954323880416
USDJPY,long,2015-05-05,2015-05-15,8,-0.00755987503535549
USDJPY,short,2015-06-29,2015-07-15,12,-0.005982278196634105
USDJPY,long,2015-10-26,2015-12-07,30,0.015697698774436164
USDJPY,long,2016-01-29,2016-02-05,5,-0.017100026926445078
USDJPY,long,2016-03-15,2016-03-17,2,-0.00949016653362067
USDJPY,long,2016-03-29,2016-03-31,2,-0.008820323875253
USDJPY,long,2016-04-26,2016-05-02,4,-0.04244652994521236
USDJPY,long,2016-05-18,2016-06-06,13,-0.020238329422110235
USDJPY,long,2016-07-14,2016-08-02,13,-0.01608585535874152
USDJPY,long,2016-08-30,2016-09-21,16,-0.002199264500142961
USDJPY,long,2016-10-05,2016-11-04,22,0.0019554894785484
USDCAD,long,2016-05-13,2016-06-07,17,-0.0018518815452028825
USDCAD,long,2017-02-22,2017-03-24,22,0.015462184021839076
USDCAD,long,2017-08-11,2017-08-22,7,-0.014190473434169348
USDCAD,long,2017-09-29,2017-11-10,30,0.019545128443366755
USDCAD,long,2018-02-09,2018-03-23,30,0.027057795322534495
USDCAD,short,2024-08-16,2024-09-12,19,0.011285171456906107
USDCHF,long,2019-09-20,2019-10-21,21,-0.007790017037810459
USDCHF,long,2020-02-06,2020-03-02,17,-0.00954197603725504
USDCHF,long,2020-03-27,2020-04-13,11,0.004565459743370193
USDCHF,long,2020-05-08,2020-05-21,9,-0.008480168360433193
USDCHF,long,2020-05-26,2020-05-28,2,-0.003513288383173774
