lookback_days,top_n,net_sharpe,ann_return,max_drawdown,is_baseline
30,2,1.226057,1.114285,-0.925599,False
30,3,1.356154,1.273945,-0.885662,False
30,4,1.310295,1.139866,-0.882833,False
30,5,1.352634,1.124531,-0.860315,False
60,2,1.163428,1.040499,-0.918123,False
60,3,1.238569,1.056046,-0.885252,False
60,4,1.265304,1.035718,-0.852066,False
60,5,1.316439,1.106424,-0.854384,False
90,2,1.353468,1.213602,-0.848622,False
90,3,1.438582,1.195892,-0.879018,True
90,4,1.437622,1.157134,-0.847416,False
90,5,1.434239,1.189042,-0.825604,False
120,2,1.381727,1.249257,-0.890592,False
120,3,1.368512,1.135132,-0.855003,False
120,4,1.340443,1.067995,-0.839925,False
120,5,1.430819,1.128000,-0.789120,False
180,2,1.196075,1.064429,-0.869931,False
180,3,1.242859,1.019692,-0.848322,False
180,4,1.248940,0.985958,-0.834949,False
180,5,1.340688,1.086737,-0.834671,False
252,2,1.278807,1.105388,-0.915062,False
252,3,1.387591,1.126007,-0.888685,False
252,4,1.360521,1.065307,-0.863251,False
252,5,1.420814,1.087346,-0.833126,False
